osm_id,desc,geometry
4835689,Transport infrastructure; Unclassified road,"c(-3.1731845, -3.1738082, -3.1739183, -3.1739648, -3.1740043, -3.17400833826852, 55.96894, 55.9691062, 55.9691388, 55.9691545, 55.9691767, 55.9691795736742)"
23136670,Transport infrastructure; Unclassified road,"list(c(-3.1655492, -3.1648786, -3.16478743731242, 55.9627592, 55.9629471, 55.9629714065042), c(-3.16460731817949, -3.1643644, -3.1641849, -3.1635267, -3.1634497, -3.1633719, -3.16325449124093, 55.9630194312672, 55.9630842, 55.9631271, 55.9632812, 55.9632941, 55.9633051, 55.9633175658396))"
66276524,Transport infrastructure; Unclassified road,"c(-3.17236584329713, -3.1726537, -3.1730377, 55.9689067526721, 55.9689957, 55.9691118)"
31687736,Transport infrastructure; Pathway,"c(-3.19382488926911, -3.1938221, -3.1938099, 55.9674679487055, 55.9673905, 55.967371)"
31910229,Transport infrastructure; Pathway,"c(-3.17892330257956, -3.1790642, -3.17905464331173, 55.9703901213331, 55.9704985, 55.9705020168613)"
31910230,Transport infrastructure; Pathway,"c(-3.1787745, -3.1785019, -3.1784941, -3.1784911, -3.1784856, -3.1784826, -3.1784827, -3.17848344533012, 55.9695291, 55.9699397, 55.9699547, 55.9699621, 55.9699826, 55.9699994, 55.9700111, 55.9700153856482)"
35603714,Transport infrastructure; Pathway,"c(-3.17933267405971, -3.1794052, -3.1794742, -3.1794957, 55.9729346763043, 55.9729269, 55.9729194, 55.9729171)"
64619739,Transport infrastructure; Pathway,"c(-3.19177669772316, -3.1917663, 55.9734962252908, 55.9734834)"
67217558,Transport infrastructure; Pathway,"c(-3.17241210988046, -3.1724125, -3.17241340113591, 55.957472775096, 55.9574729, 55.9574728305037)"
91356267,Transport infrastructure; Pathway,"c(-3.17396752428303, -3.1739622, 55.9575395177811, 55.9576388)"
100007414,Transport infrastructure; Pathway,"c(-3.17902701777916, -3.1790759, -3.1790951, -3.1791129, -3.1791258, -3.1791356, -3.1791397, -3.1791405, -3.1791358, -3.1791354, -3.1791492, -3.1791701, -3.1792983, -3.1793253, -3.1793629, 55.9710104145271, 55.9710634, 55.971094, 55.9711247, 55.9711516, 55.9711765, 55.9711969, 55.9712182, 55.9712676, 55.9713183, 55.9713499, 55.9713805, 55.9715438, 55.9715782, 55.9716174)"
105261179,Transport infrastructure; Pathway,"c(-3.18097140830181, -3.1810292, -3.1810185, -3.1806833, -3.18051855573869, 55.9736902833014, 55.9737363, 55.9738, 55.9739469, 55.9740190615409)"
309621301,Transport infrastructure; Pathway,"c(-3.18022984665496, -3.1810961, -3.1812363, 55.9744015049145, 55.974066, 55.9740994)"
348366938,Transport infrastructure; Pathway,"c(-3.1834231, -3.1836499253062, 55.9588419, 55.9589049879442)"
348366941,Transport infrastructure; Pathway,"c(-3.18408273598626, -3.1838687, 55.9584252272394, 55.9583653)"
352862306,Transport infrastructure; Pathway,"c(-3.1924193, -3.1925177, -3.19256936644626, 55.9699869, 55.9699336, 55.9699089276888)"
375368808,Transport infrastructure; Pathway,"c(-3.19233195099566, -3.1922791, -3.1922114, -3.1921747, 55.9697696514537, 55.9698036, 55.969845, 55.9698675)"
377908644,Transport infrastructure; Pathway,"c(-3.1930463, -3.19311923744693, 55.9607144, 55.9606526749867)"
412685518,Transport infrastructure; Pathway,"c(-3.1806833, -3.18068161061869, 55.9739469, 55.9739006810773)"
414947308,Transport infrastructure; Pathway,"c(-3.1784988, -3.17846569972614, 55.957751, 55.9577325340645)"
457214412,Transport infrastructure; Pathway,"c(-3.19324495420626, -3.1931883, 55.9703052511777, 55.9703361)"
457220232,Transport infrastructure; Pathway,"c(-3.1969662640474, -3.1968964, -3.196872, -3.1968495, -3.1968299, -3.1968162, -3.19678973279286, 55.972488302125, 55.9724668, 55.972458, 55.972446, 55.9724303, 55.9724118, 55.972384742696)"
460739950,Transport infrastructure; Pathway,"list(c(-3.1675243, -3.1673651, -3.1673544, -3.16690806235905, 55.968073, 55.9680118, 55.967996, 55.9678343787911), c(-3.1663199138434, -3.1660079, 55.9678395543448, 55.9679405))"
490089928,Transport infrastructure; Pathway,"c(-3.19891214562146, -3.198837, -3.1988442, 55.9626794946237, 55.962725, 55.962778)"
553117046,Transport infrastructure; Pathway,"c(-3.1914387, -3.1914908, -3.19145730743653, 55.9599284, 55.9599125, 55.9598620212367)"
560082768,Transport infrastructure; Pathway,"c(-3.1790677675675, -3.1791041, 55.9728381965596, 55.9728069)"
560082769,Transport infrastructure; Pathway,"c(-3.1787723, -3.17874681351041, 55.972699, 55.9727213041225)"
779257716,Transport infrastructure; Pathway,"c(-3.1659900226205, -3.16573836163119, 55.9678424573016, 55.9679198130095)"
24989646,Transport infrastructure; Pathway,"c(-3.1900919, -3.19014924736962, 55.9685399, 55.9684892009076)"
173118720,Transport infrastructure; Pathway,"list(c(-3.1673776697244, -3.16737387210812, 55.966044605398, 55.9660554784614), c(-3.16827889358057, -3.1683336, -3.1692124, -3.1693221, 55.9668706209518, 55.9669108, 55.9671011, 55.9672088))"
515856893,Amenity; Parking,"list(c(-3.18778978342032, -3.187829, -3.1870662, -3.18696006027096, -3.18778978342032, 55.9603095414586, 55.9603655, 55.9605329, 55.9604153044703, 55.9603095414586))"
516193751,Amenity; Parking,"list(c(-3.18696006027096, -3.1870662, -3.1870189, -3.186976, -3.18688082598683, -3.18696006027096, 55.9604153044703, 55.9605329, 55.9605433, 55.9605516, 55.9604254042928, 55.9604153044703))"
